ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NGD,94.54855698,96.96753586,98.67434672,97.04055282,103.262133,109.0920987,118.97624,118.9600629,130.8870765,135.6187022,129.4117809,91.49191709,115.6546162,175.7720078,268.3990519,136.3609354,126.9433183,170.4791911,194.2375003,219.5756085,233.1521944,207.7518848,191.9000332,214.2618275,229.2263543,218.4812139,239.0643871,251.0324273,256.0164921,280.5656163,281.5987649,282.0296249,288.6617868,287.7124272,316.5085869,332.2362578,338.6985621,345.8759387,351.582591,355.9734341,348.7568929,347.2186123,372.9805204,400.4724749,421.1233114,427.291167,467.1363614,537.6384971,597.7118029,664.0642317,732.0677462
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.596299,4735.953138,6377.359692,5182.630404,5818.854859,6784.711838
BEL,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2732.224225,3045.402163,3784.992768,4841.307064,5664.005657,6619.807302,7154.884072,8324.373084,10164.51999,11666.85557,12707.42027,10493.50036,9230.126481,8738.556775,8354.325824,8644.302473,12021.90541,14951.61675,16191.57935,16323.91663,20349.62487,20785.53888,23088.12465,22012.69312,23913.88524,28067.96974,27154.33688,24532.02692,25051.33996,24886.86566,22697.0123,22600.91615,24465.3335,30039.09224,34706.6939,36011.4694,37918.7732,43255.39528,47374.44813,43843.1098,43000.1509,46512.88987
BEN,95.566922,94.45187434,99.8404447,104.323759,110.1326112,112.9735471,112.0276403,117.0224628,116.1885064,114.7366635,112.7455182,135.0086718,162.1749431,174.1707255,207.4405897,208.7604401,218.5292906,263.6310781,327.82315,377.9566361,337.7945068,322.4788073,270.7670926,252.4356598,243.9115095,302.6655703,343.6791653,345.809265,310.6327258,391.8934468,383.2953623,315.2182868,407.4501881,276.1591211,362.4709494,382.2854406,356.5782605,375.0241065,369.2449748,339.4730257,348.3345495,378.6587084,464.046143,511.2929789,532.6109983,557.2324469,632.3608696,739.2561276,712.616527,689.6483313,745.9154748
BOL,178.6670557,191.0530559,201.1678703,221.6076527,242.2988931,258.9901382,275.9853822,226.042366,234.2919252,241.1932419,253.4997481,283.9378101,278.1858344,451.3357573,504.3222286,559.3622234,645.2329056,733.7970594,843.1610774,845.1427662,1071.763988,993.9185343,940.9966975,1045.652331,890.166151,640.0480509,682.9053919,709.3484317,710.7024964,716.4483086,768.0698949,792.3110451,786.3573341,801.3666765,879.4821319,947.4825861,993.3838364,1042.610571,995.5125476,988.5332917,939.1453736,893.946881,896.3721195,954.9220911,1020.79031,1203.254187,1355.87944,1695.557333,1735.14337,1934.675258,2319.608523
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.1708414,530.1264167,799.3072569,1038.410242,1130.706392,1248.86054,1435.957686,1481.945715,1706.501954,2148.484346,2578.738087,2821.78775,3199.896836,3949.842081,4802.466744,4433.146179,4361.877138,4751.482449
BWA,61.30228794,64.79115811,67.48070285,71.78598709,76.83900543,83.94368984,92.87705257,101.789896,115.2214618,138.8439561,177.2978456,223.279509,318.8310019,385.8523659,431.6554757,435.2463696,508.1426137,638.711186,853.3145524,1063.512327,1038.177983,947.4371725,1057.529832,1082.547929,941.0179809,1137.990354,1555.667942,2029.290298,2295.467134,2739.073484,2767.87741,2830.212158,2763.675075,2809.364605,3014.535032,2961.057837,3125.483127,3067.515933,3400.998032,3208.770041,3383.371727,3367.373158,4412.75501,5417.844903,5467.274346,5341.406422,5711.752637,5746.967776,5178.438217,6980.364929,7697.395703
BRA,203.190475,257.8233014,289.0583275,258.6279445,258.2388961,312.0633232,343.5263863,370.7245833,399.7325007,440.6354471,499.9036829,580.6711362,767.9947829,994.7260068,1143.132218,1377.857234,1552.781332,1728.643262,1891.705908,1930.538471,2115.074377,2208.832593,1558.418524,1567.315607,1636.601162,1928.720174,2074.409516,2287.237001,2893.657808,3086.915491,2677.149908,2526.336624,2791.518675,3426.101824,4749.814207,5107.79392,5219.098144,4979.144846,3411.865896,3694.462668,3128.144846,2810.695347,3039.671627,3607.191571,4739.305437,5787.975574,7194.078944,8622.708675,8373.339742,10978.09355,12575.97941
BGR,,,,,,,,,,,,,,,,,,,,2261.417284,2255.761258,2220.823183,1897.078564,1943.06261,1959.938778,2261.757713,3168.865125,2561.108705,2449.800833,2377.335786,1267.734414,1214.484933,1278.517392,1149.377993,1554.721723,1063.075661,1209.502744,1581.824574,1611.129004,1579.34824,1729.191157,2030.788523,2641.787723,3249.287396,3733.263161,4313.430636,5498.035729,6798.138189,6403.147686,6334.678269,7286.64187
BFA,71.5582089,76.52061097,78.37210249,80.47270761,81.72511987,82.54562462,84.36313619,84.73303283,86.52021767,81.49993121,84.28782711,99.32678734,113.7804652,124.3589337,152.7281454,155.6489366,176.7832501,225.9415576,262.0758372,282.6857854,254.2308043,245.0946289,217.9946709,193.8431596,200.8942645,256.7624457,291.1317961,313.0618339,304.8532727,351.9792491,346.410432,240.9633995,244.1271502,193.0702424,235.8322318,249.3646791,229.5052257,255.738905,267.2115822,224.9286471,235.4617989,260.6935797,332.2270756,371.2179868,406.9988043,422.8448175,474.5899781,569.6392934,553.0423743,592.6074699,649.92523
